epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5016.05,1.1344,0.49315,1.07924,0.97006,0.96757,0.97639,0.57209,1.4862,0.5503,1.22075,0.0011882,0.0011882,0.0011882
43,5132,1.13587,0.4937,1.07724,0.97723,0.96679,0.97875,0.57847,1.46765,0.52678,1.20472,0.0011684,0.0011684,0.0011684
44,5249.63,1.1239,0.49096,1.07309,0.97634,0.96306,0.97583,0.56012,1.50048,0.5339,1.21678,0.0011486,0.0011486,0.0011486
45,5365.74,1.11666,0.48702,1.06928,0.98063,0.95803,0.97278,0.56728,1.4871,0.54679,1.21332,0.0011288,0.0011288,0.0011288
46,5482.19,1.11516,0.48745,1.0696,0.97525,0.9586,0.97595,0.56882,1.49466,0.54753,1.21514,0.001109,0.001109,0.001109
47,5604.7,1.11315,0.48434,1.06832,0.94333,0.96667,0.97331,0.56253,1.46912,0.54592,1.2265,0.0010892,0.0010892,0.0010892
48,5743.14,1.10727,0.48448,1.06484,0.95096,0.94337,0.97362,0.56415,1.47771,0.53482,1.2099,0.0010694,0.0010694,0.0010694
49,5881.07,1.10108,0.48122,1.06385,0.92011,0.96216,0.96342,0.56094,1.44834,0.5361,1.21316,0.0010496,0.0010496,0.0010496
50,6019.48,1.09893,0.47798,1.06236,0.98421,0.95467,0.97622,0.56355,1.47226,0.54272,1.20954,0.0010298,0.0010298,0.0010298
51,6157.28,1.09031,0.47775,1.06132,0.92823,0.95946,0.97408,0.58143,1.43088,0.52786,1.18869,0.00101,0.00101,0.00101
52,6294.88,1.08356,0.47358,1.05606,0.94136,0.96903,0.97155,0.58039,1.42201,0.53924,1.18791,0.0009902,0.0009902,0.0009902
53,6431.56,1.07809,0.47505,1.05853,0.97812,0.96637,0.97645,0.56637,1.46036,0.54452,1.2015,0.0009704,0.0009704,0.0009704
54,6551.23,1.07265,0.46968,1.05556,0.97918,0.96486,0.97585,0.57944,1.42971,0.52108,1.1905,0.0009506,0.0009506,0.0009506
55,6669.49,1.06916,0.46856,1.05445,0.97898,0.96483,0.97722,0.56956,1.45322,0.5204,1.21418,0.0009308,0.0009308,0.0009308
56,6787.07,1.06933,0.46767,1.05153,0.95647,0.96985,0.97871,0.57477,1.42655,0.51437,1.18619,0.000911,0.000911,0.000911
57,6906.55,1.0581,0.46341,1.04825,0.96272,0.95375,0.97129,0.56209,1.46022,0.54022,1.19846,0.0008912,0.0008912,0.0008912
58,7025.48,1.05671,0.46458,1.04549,0.9409,0.96396,0.96993,0.56381,1.47378,0.54689,1.21288,0.0008714,0.0008714,0.0008714
59,7143.53,1.05035,0.46258,1.0445,0.96391,0.96235,0.97655,0.57444,1.47607,0.54033,1.19812,0.0008516,0.0008516,0.0008516
60,7262.25,1.0481,0.45885,1.04089,0.97522,0.95405,0.97949,0.57254,1.46801,0.52427,1.2095,0.0008318,0.0008318,0.0008318
